Semana,Avion_ID,Motor_asignado,Ciclos_acumulados,Umbral_maximo,Leased,Bought,Swap
1,1,EC-2337-98,14492.75,14500,,,0
1,2,EC-2193-39,14472.75,14500,,,0
1,3,EC-6493-61,14497.75,14500,,,0
1,4,EC-7175-45,8063.0,14500,,,0
1,5,EC-9535-20,10053.0,14500,,,0
1,6,EC-6116-65,977.0,14500,,,0
1,7,EC-2872-44,13531.0,14500,,,0
1,8,EC-6826-38,11119.0,14500,,,0
1,9,EC-9678-33,8974.0,14500,,,0
1,10,EC-6324-10,7142.0,14500,,,0
1,11,EC-8617-67,10370.0,14500,,,0
1,12,EC-5469-79,12125.0,14500,,,0
1,13,EC-8335-93,10242.05,14500,,,0
1,14,EC-1648-21,13911.05,14500,,,0
1,15,EC-1251-58,7165.05,14500,,,0
1,16,EC-6100-57,2009.0,14500,,,0
1,17,EC-7599-49,7813.0,14500,,,0
1,18,EC-4413-71,13946.0,14500,,,0
1,19,EC-5767-40,2246.0,14500,,,0
1,20,EC-1620-18,1388.0,14500,,,0
1,21,EC-3695-90,13063.0,14500,,,0
1,22,EC-3089-36,220.41,15500,,,0
1,23,EC-7040-90,10922.41,15500,,,0
1,24,EC-9515-75,11508.41,15500,,,0
1,25,EC-5704-41,2776.41,15500,,,0
1,26,EC-9080-27,3506.41,15500,,,0
1,27,EC-9529-73,3814.41,15500,,,0
1,28,EC-4714-18,6266.41,15500,,,0
1,29,EC-3007-30,10793.41,15500,,,0
1,30,EC-5153-53,15480.41,15500,,,0
2,1,,0.0,14500,lease_1,,0
2,2,EC-2193-39,14495.5,14500,,,0
2,3,,0.0,14500,lease_1,,0
2,4,EC-7175-45,8084.0,14500,,,0
2,5,EC-9535-20,10074.0,14500,,,0
2,6,EC-6116-65,998.0,14500,,,0
2,7,EC-2872-44,13552.000000000002,14500,,,0
2,8,EC-6826-38,11140.0,14500,,,0
2,9,EC-9678-33,8995.0,14500,,,0
2,10,EC-6324-10,7163.0,14500,,,0
2,11,EC-8617-67,10391.0,14500,,,0
2,12,EC-5469-79,12146.0,14500,,,0
2,13,EC-8335-93,10264.1,14500,,,0
2,14,EC-1648-21,13933.1,14500,,,0
2,15,EC-1251-58,7187.1,14500,,,0
2,16,EC-6100-57,2030.0000000000002,14500,,,0
2,17,EC-7599-49,7834.0,14500,,,0
2,18,EC-4413-71,13967.0,14500,,,0
2,19,EC-5767-40,2267.0,14500,,,0
2,20,EC-1620-18,1409.0,14500,,,0
2,21,EC-3695-90,13084.0,14500,,,0
2,22,EC-3089-36,231.82,15500,,,0
2,23,EC-7040-90,10933.82,15500,,,0
2,24,EC-9515-75,11519.82,15500,,,0
2,25,EC-5704-41,2787.82,15500,,,0
2,26,EC-9080-27,3517.82,15500,,,0
2,27,EC-9529-73,3825.82,15500,,,0
2,28,EC-4714-18,6277.82,15500,,,0
2,29,EC-3007-30,10804.82,15500,,,0
2,30,EC-2337-98,14504.16,15500,,,1
3,1,,0.0,14500,lease_2,,0
3,2,EC-2193-39,14518.25,14500,,,0
3,3,,0.0,14500,lease_2,,0
3,4,EC-7175-45,8105.0,14500,,,0
3,5,EC-9535-20,10095.0,14500,,,0
3,6,EC-6116-65,1019.0,14500,,,0
3,7,EC-2872-44,13573.000000000002,14500,,,0
3,8,EC-6826-38,11161.0,14500,,,0
3,9,EC-9678-33,9016.0,14500,,,0
3,10,EC-6324-10,7184.0,14500,,,0
3,11,EC-8617-67,10412.0,14500,,,0
3,12,EC-5469-79,12167.0,14500,,,0
3,13,EC-8335-93,10286.150000000001,14500,,,0
3,14,EC-1648-21,13955.15,14500,,,0
3,15,EC-1251-58,7209.150000000001,14500,,,0
3,16,EC-6100-57,2051.0,14500,,,0
3,17,EC-7599-49,7855.0,14500,,,0
3,18,EC-4413-71,13988.0,14500,,,0
3,19,EC-5767-40,2288.0,14500,,,0
3,20,EC-1620-18,1430.0,14500,,,0
3,21,EC-3695-90,13105.0,14500,,,0
3,22,EC-3089-36,243.23000000000002,15500,,,0
3,23,EC-7040-90,10945.23,15500,,,0
3,24,EC-9515-75,11531.23,15500,,,0
3,25,EC-5704-41,2799.2300000000005,15500,,,0
3,26,EC-9080-27,3529.23,15500,,,0
3,27,EC-9529-73,3837.23,15500,,,0
3,28,EC-4714-18,6289.2300000000005,15500,,,0
3,29,EC-3007-30,10816.23,15500,,,0
3,30,EC-2337-98,14515.57,15500,,,0
4,1,,0.0,14500,lease_3,,0
4,2,,0.0,14500,lease_1,,0
4,3,,0.0,14500,lease_3,,0
4,4,EC-7175-45,8126.0,14500,,,0
4,5,EC-9535-20,10116.0,14500,,,0
4,6,EC-6116-65,1040.0,14500,,,0
4,7,EC-2872-44,13594.000000000002,14500,,,0
4,8,EC-6826-38,11182.0,14500,,,0
4,9,EC-9678-33,9037.0,14500,,,0
4,10,EC-6324-10,7205.0,14500,,,0
4,11,EC-8617-67,10433.0,14500,,,0
4,12,EC-5469-79,12188.0,14500,,,0
4,13,EC-8335-93,10308.2,14500,,,0
4,14,EC-1648-21,13977.2,14500,,,0
4,15,EC-1251-58,7231.2,14500,,,0
4,16,EC-6100-57,2072.0,14500,,,0
4,17,EC-7599-49,7876.0,14500,,,0
4,18,EC-4413-71,14009.0,14500,,,0
4,19,EC-5767-40,2309.0,14500,,,0
4,20,EC-1620-18,1451.0,14500,,,0
4,21,EC-3695-90,13126.0,14500,,,0
4,22,EC-3089-36,254.64000000000001,15500,,,0
4,23,EC-7040-90,10956.64,15500,,,0
4,24,EC-9515-75,11542.64,15500,,,0
4,25,EC-5704-41,2810.6400000000003,15500,,,0
4,26,EC-9080-27,3540.64,15500,,,0
4,27,EC-9529-73,3848.64,15500,,,0
4,28,EC-4714-18,6300.64,15500,,,0
4,29,EC-3007-30,10827.64,15500,,,0
4,30,EC-2337-98,14526.98,15500,,,0
5,1,,0.0,14500,lease_4,,0
5,2,,0.0,14500,lease_2,,0
5,3,,0.0,14500,lease_4,,0
5,4,EC-7175-45,8147.0,14500,,,0
5,5,EC-9535-20,10137.0,14500,,,0
5,6,EC-6116-65,1061.0,14500,,,0
5,7,EC-2872-44,13615.000000000002,14500,,,0
5,8,EC-6826-38,11203.0,14500,,,0
5,9,EC-9678-33,9058.0,14500,,,0
5,10,EC-6324-10,7226.0,14500,,,0
5,11,EC-8617-67,10454.0,14500,,,0
5,12,EC-5469-79,12209.0,14500,,,0
5,13,EC-8335-93,10330.250000000002,14500,,,0
5,14,EC-1648-21,13999.25,14500,,,0
5,15,EC-1251-58,7253.25,14500,,,0
5,16,EC-6100-57,2093.0,14500,,,0
5,17,EC-7599-49,7897.0,14500,,,0
5,18,EC-4413-71,14030.0,14500,,,0
5,19,EC-5767-40,2330.0,14500,,,0
5,20,EC-1620-18,1472.0,14500,,,0
5,21,EC-3695-90,13147.0,14500,,,0
5,22,EC-3089-36,266.05,15500,,,0
5,23,EC-7040-90,10968.050000000001,15500,,,0
5,24,EC-9515-75,11554.050000000001,15500,,,0
5,25,EC-5704-41,2822.05,15500,,,0
5,26,EC-9080-27,3552.05,15500,,,0
5,27,EC-9529-73,3860.05,15500,,,0
5,28,EC-4714-18,6312.05,15500,,,0
5,29,EC-3007-30,10839.050000000001,15500,,,0
5,30,EC-2337-98,14538.39,15500,,,0
6,1,,0.0,14500,lease_5,,0
6,2,EC-6116-65,1083.75,14500,,,0
6,3,,0.0,14500,lease_5,,0
6,4,EC-7175-45,8168.0,14500,,,0
6,5,EC-9535-20,10158.0,14500,,,0
6,6,,0.0,14500,lease_1,,0
6,7,EC-2872-44,13636.000000000002,14500,,,0
6,8,EC-6826-38,11224.0,14500,,,0
6,9,EC-9678-33,9079.0,14500,,,0
6,10,EC-6324-10,7247.0,14500,,,0
6,11,EC-8617-67,10475.0,14500,,,0
6,12,EC-5469-79,12230.0,14500,,,0
6,13,EC-8335-93,10352.300000000001,14500,,,0
6,14,EC-1648-21,14021.300000000001,14500,,,0
6,15,EC-1251-58,7275.3,14500,,,0
6,16,EC-6100-57,2114.0,14500,,,0
6,17,EC-7599-49,7918.0,14500,,,0
6,18,EC-4413-71,14051.0,14500,,,0
6,19,EC-5767-40,2351.0,14500,,,0
6,20,EC-1620-18,1493.0,14500,,,0
6,21,EC-3695-90,13168.0,14500,,,0
6,22,EC-3089-36,277.46,15500,,,0
6,23,EC-7040-90,10979.460000000001,15500,,,0
6,24,EC-9515-75,11565.460000000001,15500,,,0
6,25,EC-5704-41,2833.4600000000005,15500,,,0
6,26,EC-9080-27,3563.46,15500,,,0
6,27,EC-9529-73,3871.46,15500,,,0
6,28,EC-4714-18,6323.46,15500,,,0
6,29,EC-3007-30,10850.460000000001,15500,,,0
6,30,EC-2337-98,14549.800000000001,15500,,,0
7,1,,0.0,14500,lease_6,,0
7,2,EC-6116-65,1106.5,14500,,,0
7,3,,0.0,14500,lease_6,,0
7,4,EC-7175-45,8189.0,14500,,,0
7,5,EC-9535-20,10179.0,14500,,,0
7,6,,0.0,14500,lease_2,,0
7,7,EC-2872-44,13657.000000000002,14500,,,0
7,8,EC-6826-38,11245.0,14500,,,0
7,9,EC-9678-33,9100.0,14500,,,0
7,10,EC-6324-10,7268.0,14500,,,0
7,11,EC-8617-67,10496.0,14500,,,0
7,12,EC-5469-79,12251.0,14500,,,0
7,13,EC-8335-93,10374.35,14500,,,0
7,14,EC-1648-21,14043.35,14500,,,0
7,15,EC-1251-58,7297.35,14500,,,0
7,16,EC-6100-57,2135.0,14500,,,0
7,17,EC-7599-49,7939.0,14500,,,0
7,18,EC-4413-71,14072.0,14500,,,0
7,19,EC-5767-40,2372.0,14500,,,0
7,20,EC-1620-18,1514.0,14500,,,0
7,21,EC-3695-90,13189.0,14500,,,0
7,22,EC-3089-36,288.87,15500,,,0
7,23,EC-7040-90,10990.87,15500,,,0
7,24,EC-9515-75,11576.87,15500,,,0
7,25,EC-5704-41,2844.8700000000003,15500,,,0
7,26,EC-9080-27,3574.87,15500,,,0
7,27,EC-9529-73,3882.87,15500,,,0
7,28,EC-4714-18,6334.87,15500,,,0
7,29,EC-3007-30,10861.87,15500,,,0
7,30,EC-2337-98,14561.210000000001,15500,,,0
8,1,EC-9529-73,3905.62,14500,,,0
8,2,EC-6116-65,1129.25,14500,,,0
8,3,,0.0,14500,lease_7,,0
8,4,EC-7175-45,8210.0,14500,,,0
8,5,EC-9535-20,10200.0,14500,,,0
8,6,,0.0,14500,lease_3,,0
8,7,EC-2872-44,13678.000000000002,14500,,,0
8,8,EC-6826-38,11266.0,14500,,,0
8,9,EC-9678-33,9121.0,14500,,,0
8,10,EC-6324-10,7289.0,14500,,,0
8,11,EC-8617-67,10517.0,14500,,,0
8,12,EC-5469-79,12272.0,14500,,,0
8,13,EC-8335-93,10396.400000000001,14500,,,0
8,14,EC-1648-21,14065.4,14500,,,0
8,15,EC-1251-58,7319.400000000001,14500,,,0
8,16,EC-6100-57,2156.0,14500,,,0
8,17,EC-7599-49,7960.0,14500,,,0
8,18,EC-4413-71,14093.0,14500,,,0
8,19,EC-5767-40,2393.0,14500,,,0
8,20,EC-1620-18,1535.0,14500,,,0
8,21,EC-3695-90,13210.0,14500,,,0
8,22,EC-3089-36,300.28000000000003,15500,,,0
8,23,EC-7040-90,11002.28,15500,,,0
8,24,EC-9515-75,11588.28,15500,,,0
8,25,EC-5704-41,2856.28,15500,,,0
8,26,EC-9080-27,3586.28,15500,,,0
8,27,,0.0,15500,lease_1,,0
8,28,EC-4714-18,6346.28,15500,,,0
8,29,EC-3007-30,10873.28,15500,,,0
8,30,EC-2337-98,14572.62,15500,,,0
9,1,EC-9529-73,3928.37,14500,,,0
9,2,EC-6116-65,1152.0,14500,,,0
9,3,,0.0,14500,lease_8,,0
9,4,EC-7175-45,8231.0,14500,,,0
9,5,EC-9535-20,10221.0,14500,,,0
9,6,,0.0,14500,lease_4,,0
9,7,EC-2872-44,13699.000000000002,14500,,,0
9,8,EC-6826-38,11287.0,14500,,,0
9,9,EC-9678-33,9142.0,14500,,,0
9,10,EC-6324-10,7310.0,14500,,,0
9,11,EC-8617-67,10538.0,14500,,,0
9,12,EC-5469-79,12293.0,14500,,,0
9,13,EC-8335-93,10418.45,14500,,,0
9,14,EC-1648-21,14087.45,14500,,,0
9,15,EC-1251-58,7341.45,14500,,,0
9,16,EC-6100-57,2177.0,14500,,,0
9,17,EC-7599-49,7981.0,14500,,,0
9,18,EC-4413-71,14114.0,14500,,,0
9,19,EC-5767-40,2414.0,14500,,,0
9,20,EC-1620-18,1556.0,14500,,,0
9,21,EC-3695-90,13231.0,14500,,,0
9,22,EC-3089-36,311.69,15500,,,0
9,23,EC-7040-90,11013.69,15500,,,0
9,24,EC-9515-75,11599.69,15500,,,0
9,25,EC-5704-41,2867.69,15500,,,0
9,26,EC-9080-27,3597.69,15500,,,0
9,27,,0.0,15500,lease_2,,0
9,28,EC-4714-18,6357.6900000000005,15500,,,0
9,29,EC-3007-30,10884.69,15500,,,0
9,30,EC-2337-98,14584.03,15500,,,0
10,1,EC-9529-73,3951.12,14500,,,0
10,2,EC-6116-65,1174.75,14500,,,0
10,3,,0.0,14500,lease_9,,0
10,4,EC-7175-45,8252.0,14500,,,0
10,5,EC-9535-20,10242.0,14500,,,0
10,6,,0.0,14500,lease_5,,0
10,7,EC-2872-44,13720.000000000002,14500,,,0
10,8,EC-6826-38,11308.0,14500,,,0
10,9,EC-9678-33,9163.0,14500,,,0
10,10,EC-6324-10,7331.0,14500,,,0
10,11,EC-8617-67,10559.0,14500,,,0
10,12,EC-5469-79,12314.0,14500,,,0
10,13,EC-8335-93,10440.500000000002,14500,,,0
10,14,EC-1648-21,14109.5,14500,,,0
10,15,EC-1251-58,7363.5,14500,,,0
10,16,EC-6100-57,2198.0,14500,,,0
10,17,EC-7599-49,8002.0,14500,,,0
10,18,EC-4413-71,14135.0,14500,,,0
10,19,EC-5767-40,2435.0,14500,,,0
10,20,EC-1620-18,1577.0,14500,,,0
10,21,EC-3695-90,13252.0,14500,,,0
10,22,EC-3089-36,323.1,15500,,,0
10,23,EC-7040-90,11025.1,15500,,,0
10,24,EC-9515-75,11611.1,15500,,,0
10,25,EC-5704-41,2879.1000000000004,15500,,,0
10,26,EC-9080-27,3609.1,15500,,,0
10,27,EC-2337-98,14595.44,15500,,,0
10,28,EC-4714-18,6369.1,15500,,,0
10,29,EC-3007-30,10896.1,15500,,,0
10,30,,0.0,15500,lease_1,,0
11,1,EC-9529-73,3973.87,14500,,,0
11,2,EC-6116-65,1197.5,14500,,,0
11,3,,0.0,14500,lease_10,,0
11,4,EC-7175-45,8273.0,14500,,,0
11,5,EC-9535-20,10263.0,14500,,,0
11,6,,0.0,14500,lease_6,,0
11,7,EC-2872-44,13741.000000000002,14500,,,0
11,8,EC-6826-38,11329.0,14500,,,0
11,9,EC-9678-33,9184.0,14500,,,0
11,10,EC-6324-10,7352.0,14500,,,0
11,11,EC-8617-67,10580.0,14500,,,0
11,12,EC-5469-79,12335.0,14500,,,0
11,13,EC-8335-93,10462.550000000001,14500,,,0
11,14,EC-1648-21,14131.550000000001,14500,,,0
11,15,EC-1251-58,7385.55,14500,,,0
11,16,EC-6100-57,2219.0,14500,,,0
11,17,EC-7599-49,8023.0,14500,,,0
11,18,EC-4413-71,14156.0,14500,,,0
11,19,EC-5767-40,2456.0,14500,,,0
11,20,EC-1620-18,1598.0,14500,,,0
11,21,EC-3695-90,13273.0,14500,,,0
11,22,EC-3089-36,334.51,15500,,,0
11,23,EC-7040-90,11036.51,15500,,,0
11,24,EC-9515-75,11622.51,15500,,,0
11,25,EC-5704-41,2890.51,15500,,,0
11,26,EC-9080-27,3620.51,15500,,,0
11,27,EC-2337-98,14606.85,15500,,,0
11,28,EC-4714-18,6380.51,15500,,,0
11,29,EC-3007-30,10907.51,15500,,,0
11,30,,0.0,15500,lease_2,,0
12,1,EC-9529-73,3996.62,14500,,,0
12,2,EC-6116-65,1220.25,14500,,,0
12,3,EC-9515-75,11645.26,14500,,,0
12,4,EC-7175-45,8294.0,14500,,,0
12,5,EC-9535-20,10284.0,14500,,,0
12,6,,0.0,14500,lease_7,,0
12,7,EC-2872-44,13762.000000000002,14500,,,0
12,8,EC-6826-38,11350.0,14500,,,0
12,9,EC-9678-33,9205.0,14500,,,0
12,10,EC-6324-10,7373.0,14500,,,0
12,11,EC-8617-67,10601.0,14500,,,0
12,12,EC-5469-79,12356.0,14500,,,0
12,13,EC-8335-93,10484.6,14500,,,0
12,14,EC-1648-21,14153.6,14500,,,0
12,15,EC-1251-58,7407.6,14500,,,0
12,16,EC-6100-57,2240.0,14500,,,0
12,17,EC-7599-49,8044.0,14500,,,0
12,18,EC-4413-71,14177.0,14500,,,0
12,19,EC-5767-40,2477.0,14500,,,0
12,20,EC-1620-18,1619.0,14500,,,0
12,21,EC-3695-90,13294.0,14500,,,0
12,22,EC-3089-36,345.92,15500,,,0
12,23,EC-7040-90,11047.92,15500,,,0
12,24,,0.0,15500,lease_1,,0
12,25,EC-5704-41,2901.92,15500,,,0
12,26,EC-9080-27,3631.92,15500,,,0
12,27,EC-2337-98,14618.26,15500,,,0
12,28,EC-4714-18,6391.92,15500,,,0
12,29,EC-3007-30,10918.92,15500,,,0
12,30,,0.0,15500,lease_3,,0
13,1,EC-9529-73,4019.37,14500,,,0
13,2,EC-6116-65,1243.0,14500,,,0
13,3,EC-9515-75,11668.01,14500,,,0
13,4,EC-7175-45,8315.0,14500,,,0
13,5,EC-9535-20,10305.0,14500,,,0
13,6,,0.0,14500,lease_8,,0
13,7,EC-2872-44,13783.000000000002,14500,,,0
13,8,EC-6826-38,11371.0,14500,,,0
13,9,EC-9678-33,9226.0,14500,,,0
13,10,EC-6324-10,7394.0,14500,,,0
13,11,EC-8617-67,10622.0,14500,,,0
13,12,EC-5469-79,12377.0,14500,,,0
13,13,EC-8335-93,10506.650000000001,14500,,,0
13,14,EC-1648-21,14175.65,14500,,,0
13,15,EC-1251-58,7429.650000000001,14500,,,0
13,16,EC-6100-57,2261.0,14500,,,0
13,17,EC-7599-49,8065.0,14500,,,0
13,18,EC-4413-71,14198.0,14500,,,0
13,19,EC-5767-40,2498.0,14500,,,0
13,20,EC-1620-18,1640.0,14500,,,0
13,21,EC-3695-90,13315.0,14500,,,0
13,22,EC-3089-36,357.33,15500,,,0
13,23,EC-7040-90,11059.33,15500,,,0
13,24,,0.0,15500,lease_2,,0
13,25,EC-5704-41,2913.3300000000004,15500,,,0
13,26,EC-9080-27,3643.33,15500,,,0
13,27,EC-2337-98,14629.67,15500,,,0
13,28,EC-4714-18,6403.33,15500,,,0
13,29,EC-3007-30,10930.33,15500,,,0
13,30,,0.0,15500,lease_4,,0
14,1,EC-9529-73,4042.12,14500,,,0
14,2,,0.0,14500,lease_3,,0
14,3,EC-9515-75,11690.76,14500,,,0
14,4,EC-7175-45,8336.0,14500,,,0
14,5,EC-9535-20,10326.0,14500,,,0
14,6,EC-6116-65,1264.0,14500,,,0
14,7,EC-2872-44,13804.000000000002,14500,,,0
14,8,EC-6826-38,11392.0,14500,,,0
14,9,EC-9678-33,9247.0,14500,,,0
14,10,EC-6324-10,7415.0,14500,,,0
14,11,EC-8617-67,10643.0,14500,,,0
14,12,EC-5469-79,12398.0,14500,,,0
14,13,EC-8335-93,10528.7,14500,,,0
14,14,EC-1648-21,14197.7,14500,,,0
14,15,EC-1251-58,7451.7,14500,,,0
14,16,EC-6100-57,2282.0,14500,,,0
14,17,EC-7599-49,8086.0,14500,,,0
14,18,EC-4413-71,14219.0,14500,,,0
14,19,EC-5767-40,2519.0,14500,,,0
14,20,EC-1620-18,1661.0,14500,,,0
14,21,EC-3695-90,13336.0,14500,,,0
